,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.88,147.33,46.99,93,75,12.75,light rain
1,Snyder,US,32.72,-100.92,55.4,54,1,8.05,clear sky
2,Kaitangata,NZ,-46.28,169.85,48.99,87,100,3.83,overcast clouds
3,Canico,PT,32.63,-16.85,77.0,69,40,12.75,scattered clouds
4,Bluff,NZ,-46.6,168.33,46.0,97,100,7.11,overcast clouds
5,Hilo,US,19.73,-155.09,70.0,64,1,8.05,clear sky
6,Butaritari,KI,3.07,172.79,77.36,85,100,9.4,overcast clouds
7,Urucui,BR,-7.23,-44.56,95.77,23,0,8.97,clear sky
8,Chokurdakh,RU,70.63,147.92,29.7,91,100,13.53,overcast clouds
9,Hithadhoo,MV,-0.6,73.08,83.26,70,92,3.69,light rain
10,Kjollefjord,NO,70.95,27.35,48.76,73,18,4.68,few clouds
11,Severo-Kurilsk,RU,50.68,156.12,51.8,89,76,13.67,broken clouds
12,Katsuura,JP,35.13,140.3,73.4,83,75,6.93,broken clouds
13,Busselton,AU,-33.65,115.33,52.0,47,0,13.4,clear sky
14,Tuatapere,NZ,-46.13,167.68,46.0,97,36,6.42,scattered clouds
15,Luan,CH,46.36,6.98,64.99,69,57,5.01,broken clouds
16,Rikitea,PF,-23.12,-134.97,73.02,77,4,15.97,light rain
17,Beloha,MG,-25.17,45.05,72.09,56,80,17.34,broken clouds
18,Albany,US,42.6,-73.97,46.99,100,90,1.52,fog
19,Kapaa,US,22.08,-159.32,80.6,74,75,10.29,broken clouds
20,Jamestown,US,42.1,-79.24,51.01,87,20,4.7,few clouds
21,Hamilton,US,39.18,-84.53,54.0,76,90,4.7,overcast clouds
22,Tasiilaq,GL,65.61,-37.64,37.4,55,0,1.12,clear sky
23,Narsaq,GL,60.92,-46.05,32.0,79,27,2.19,scattered clouds
24,Saldanha,ZA,-33.01,17.94,71.6,53,0,9.17,clear sky
25,Noumea,NC,-22.28,166.46,64.4,93,40,9.17,scattered clouds
26,Caravelas,BR,-17.71,-39.25,79.65,66,96,3.89,overcast clouds
27,Pochutla,MX,15.74,-96.47,75.2,78,20,4.34,few clouds
28,Bethel,US,41.37,-73.41,50.0,100,75,2.91,mist
29,Saskylakh,RU,71.92,114.08,21.15,96,100,10.38,overcast clouds
30,Hami,CN,42.8,93.45,58.26,28,0,6.91,clear sky
31,Sitka,US,57.05,-135.33,50.0,87,90,6.93,overcast clouds
32,Dikson,RU,73.51,80.55,37.83,92,100,23.87,overcast clouds
33,Pingliang,CN,35.54,106.69,48.97,48,100,2.46,overcast clouds
34,Ialibu,PG,-6.28,143.99,55.8,96,5,2.28,clear sky
35,Botwood,CA,49.15,-55.35,50.0,69,69,4.12,broken clouds
36,Mnogovershinnyy,RU,53.94,139.92,41.23,96,100,10.74,light rain
37,Benguela,AO,-12.58,13.41,77.0,78,90,6.93,overcast clouds
38,Cherskiy,RU,68.75,161.3,28.49,92,77,7.65,broken clouds
39,Akdepe,TM,42.06,59.38,71.6,21,0,11.41,clear sky
40,Qaanaaq,GL,77.48,-69.36,18.19,89,1,3.83,clear sky
41,Banjar,ID,-8.19,114.97,80.6,100,40,4.7,scattered clouds
42,Mataura,NZ,-46.19,168.86,46.0,97,85,4.14,overcast clouds
43,Castro,BR,-24.79,-50.01,65.91,72,81,12.03,broken clouds
44,Menongue,AO,-14.66,17.69,92.98,17,69,5.37,broken clouds
45,Barrow,US,71.29,-156.79,33.8,92,90,5.82,overcast clouds
46,Hermanus,ZA,-34.42,19.23,73.99,55,15,4.0,few clouds
47,Ushuaia,AR,-54.8,-68.3,48.2,57,75,19.46,broken clouds
48,Klaksvik,FO,62.23,-6.59,55.4,82,100,4.7,mist
49,Yellowknife,CA,62.46,-114.35,37.99,100,90,8.05,fog
50,Iqaluit,CA,63.75,-68.51,32.0,95,75,12.75,light snow
51,Mandalgovi,MN,45.76,106.27,30.96,66,0,5.53,clear sky
52,Westport,US,41.14,-73.36,54.0,81,1,6.93,clear sky
53,Lompoc,US,34.64,-120.46,60.8,81,1,3.29,clear sky
54,Vigrestad,NO,58.57,5.7,55.0,87,100,3.0,overcast clouds
55,Ketchikan,US,55.34,-131.65,51.8,100,90,4.7,moderate rain
56,Faanui,PF,-16.48,-151.75,77.18,77,0,16.31,clear sky
57,Vaini,TO,-21.2,-175.2,73.4,88,90,13.87,overcast clouds
58,Shush,IR,32.19,48.24,104.83,8,0,8.9,clear sky
59,Khatanga,RU,71.97,102.5,24.31,98,100,17.25,overcast clouds
60,Tuktoyaktuk,CA,69.45,-133.04,35.31,96,100,15.14,overcast clouds
61,Karratha,AU,-20.74,116.85,66.96,27,33,8.21,scattered clouds
62,Fairbanks,US,64.84,-147.72,41.0,93,1,2.62,clear sky
63,Bria,CF,6.54,21.99,85.5,62,76,2.77,light rain
64,Nikolskoye,RU,59.7,30.79,57.0,62,40,13.42,scattered clouds
65,Saint-Philippe,RE,-21.36,55.77,75.2,73,75,16.11,broken clouds
66,Vao,NC,-22.67,167.48,69.24,77,0,19.13,clear sky
67,Moerai,PF,-22.43,-151.33,73.17,86,100,13.04,light rain
68,Magadan,RU,59.57,150.8,41.09,85,5,4.68,clear sky
69,Scarborough,GB,54.28,-0.4,57.0,84,40,1.99,scattered clouds
70,Meulaboh,ID,4.14,96.13,80.33,79,86,7.4,light rain
71,Fortuna,US,40.6,-124.16,55.99,100,90,2.1,overcast clouds
72,Atuona,PF,-9.8,-139.03,77.09,75,0,19.77,clear sky
73,Roald,NO,62.58,6.13,66.99,59,73,11.41,broken clouds
74,Thompson,CA,55.74,-97.86,41.0,80,75,10.29,broken clouds
75,Nogales,MX,31.31,-110.94,61.0,28,1,3.36,clear sky
76,Sarangani,PH,5.4,125.46,84.9,75,64,10.89,light rain
77,Itoman,JP,26.12,127.67,80.6,74,20,6.93,few clouds
78,Longyearbyen,SJ,78.22,15.64,35.6,100,75,1.12,broken clouds
79,Salobrena,ES,36.74,-3.59,73.0,45,0,5.99,clear sky
80,Harper,LR,4.38,-7.72,82.9,66,5,10.09,clear sky
81,Provideniya,RU,64.38,-173.3,32.68,90,1,7.43,clear sky
82,Whyalla,AU,-33.03,137.58,53.6,93,90,24.16,overcast clouds
83,Luanda,AO,-8.84,13.23,78.8,69,75,6.93,broken clouds
84,Luderitz,NA,-26.65,15.16,67.62,54,0,19.57,clear sky
85,Azanka,RU,58.04,64.79,35.04,83,99,6.2,overcast clouds
86,Narrabri,AU,-30.32,149.78,66.0,39,0,8.05,clear sky
87,Bredasdorp,ZA,-34.53,20.04,71.6,60,0,11.41,clear sky
88,Touros,BR,-5.2,-35.46,80.6,78,75,11.41,broken clouds
89,Georgetown,MY,5.41,100.34,84.2,74,20,4.7,few clouds
90,Atar,MR,20.52,-13.05,94.08,25,98,11.68,overcast clouds
91,Praia,CV,14.92,-23.51,82.4,65,75,17.22,broken clouds
92,Laguna,US,38.42,-121.42,61.0,72,1,3.36,haze
93,Lavrentiya,RU,65.58,-171.0,34.16,88,0,9.17,clear sky
94,Omboue,GA,-1.57,9.26,78.48,84,100,12.46,light rain
